# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE210773|spatial|Oryctolagus cuniculus|4|GSE210773_RAW.tar(158MB)|metabolism,fibrosis_wound,skeletal_muscle|Spatial transcriptomics tools allow for regional exploration of heterogeneous muscle pathology in the pre-clinical rabbit model of rotator cuff tear|Conditions affecting skeletal chronic tears back pain dystrophies many others often share changes phenotype intramuscular adipose fibrotic tissue increase while contractile lost cell populations|
GSE213699|spatial|Homo sapiens|8|GSE213699_RAW.tar(338MB)|cancer,reproduction|Spatial transcriptomics of ovarian cancer tumors|Several different anatomical sites therapy statuses GUI explore https visium-shiny-9hzfl ondigitalocean app Code run shiny output github com/kwells4/visium_public_shiny replicate|
GSE199711|spatial|Homo sapiens|5|GSE199711_RAW.tar(90MB)|aging,kidney|An atlas of healthy and injured cell states and niches in the human kidney [scRNA-Seq]|Understanding disease relies defining complexity types molecular profiles interactions within tissue neighborhoods applied multiple single-cell nucleus assays 400 000 nuclei/cells spatial imaging|
GSE183277|spatial|Homo sapiens|44|GSE183277_Kidney_Healthy-Injury_Cell_Atlas_snCv3_Counts_03282022.RDS.gz(868MB), GSE183277_Kidney_Healthy-Injury_Cell_Atlas_snCv3_Metadata_03282022.txt.gz(19MB), GSE183277_Kidney_Healthy-Injury_Cell_Atlas_snCv3_Metadata_Field_Descriptions.txt.gz(1013B), GSE183277_Kidney_Healthy-Injury_Cell_Atlas_snCv3_Seurat_03282022.h5Seurat(7.9GB)|aging,kidney|An atlas of healthy and injured cell states and niches in the human kidney [snCv3]|Understanding disease relies defining complexity types molecular profiles interactions within tissue neighborhoods applied multiple single-cell nucleus assays 400 000 nuclei/cells spatial imaging|
GSE183276|spatial|Homo sapiens|49|GSE183276_Kidney_Healthy-Injury_Cell_Atlas_scCv3_Counts_03282022.RDS.gz(1.3GB), GSE183276_Kidney_Healthy-Injury_Cell_Atlas_scCv3_Metadata_03282022.txt.gz(10MB), GSE183276_Kidney_Healthy-Injury_Cell_Atlas_scCv3_Metadata_Field_Descriptions.txt.gz(1KB), GSE183276_Kidney_Healthy-Injury_Cell_Atlas_scCv3_Seurat_03282022.h5Seurat(5.7GB)|aging,kidney|An atlas of healthy and injured cell states and niches in the human kidney [scCv3]|Understanding disease relies defining complexity types molecular profiles interactions within tissue neighborhoods applied multiple single-cell nucleus assays 400 000 nuclei/cells spatial imaging|
GSE183274|spatial|Homo sapiens|67|GSE183274_RAW.tar(3.4GB)|aging,kidney|An atlas of healthy and injured cell states and niches in the human kidney [Slide-seq2]|Understanding disease relies defining complexity types molecular profiles interactions within tissue neighborhoods applied multiple single-cell nucleus assays 400 000 nuclei/cells spatial imaging|
GSE183273|spatial|Homo sapiens|34|GSE183273_BUKMAP.fragments.sort.tsv.gz(15.2GB), GSE183273_BUKMAP.fragments.sort.tsv.gz.tbi.gz(4MB), GSE183273_Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_03282022.RDS.gz(272MB), GSE183273_Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_03282022.txt.gz(9MB), GSE183273_Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt.gz(1KB), GSE183273_Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_03282022.rda.gz(40.8GB), GSE183273_Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_03282022.RDS.gz(251MB)|aging,kidney|An atlas of healthy and injured cell states and niches in the human kidney [SNARE-Seq2]|Understanding disease relies defining complexity types molecular profiles interactions within tissue neighborhoods applied multiple single-cell nucleus assays 400 000 nuclei/cells spatial imaging|multiomics
GSE214363|spatial|Mus musculus|2|GSE214363_RAW.tar(15MB)|cancer,cardiovascular,hematopoiesis,drug_response,signal_transduction|Spatial transcriptomics data of GAN-KP tumor treated with regorafenib|conducted mouse tumors gastric cancer multikinase inhibitor suppress cancer-associated fibroblast growth inhibiting platelet-derived factor receptor alpha beta|
GSE214611|spatial|Mus musculus; Homo sapiens|32|GSE214611_RAW.tar(2.7GB)|cardiovascular,skeletal_muscle,cell_stress|Single Cell Spatial Transcriptomics Redefines the Borderzone induced by Myocardial Infarction and Mechanical Injury|ischemic geographically complex biologically enigmatic interface separating poorly perfused zones comparatively healthy remote cellular molecular understood because efforts dissect inevitably include|
GSE208413|spatial|Homo sapiens|57|GSE208413_mRNA_counts.txt.gz(1MB), GSE208413_mRNA_normalized_counts.txt.gz(3MB)|immunology,metabolism,fibrosis_wound,liver|EXCESSIVE INFLAMMATION DRIVES POSTOPERATIVE LIVER FAILURE IN HUMANS - mRNA datasets|While extensive experimental evidence rodent regeneration exists poorly understood disease complicates process Within analyses contrast patients dysfunctional demonstrated overall stronger|
GSE228415|spatial|Homo sapiens|4|GSE228415_RAW.tar(176MB)|immunology,fibrosis_wound,signal_transduction|Comparative analysis of cell-cell communication at single-cell resolution|Inference RNA-sequencing powerful technique uncover intercellular pathways existing methods perform level type cluster discarding information present Scriabin flexible scalable framework without|
GSE226097|spatial|Arabidopsis thaliana|84|GSE226097_221121_curio_seed_seurat.rds.gz(223MB), GSE226097_flower_250805.rds(1.1GB), GSE226097_flower_relaxed_220706.rds(65MB), GSE226097_global_integration_221009.rds(3.0GB), GSE226097_hook_Col_hls1_integrated_250221.rds(707MB), GSE226097_relaxed_global_integration_221122.rds(2.6GB), GSE226097_rosette_21d_230221.rds.gz(583MB), GSE226097_rosette_21d_relaxed_220713.rds(131MB), GSE226097_rosette_30d_230221.rds.gz(890MB), GSE226097_rosette_30d_relaxed_220706.rds(185MB), GSE226097_rosette_merge_220824.rds(355MB), GSE226097_seed_0d_230221.rds.gz(309MB), GSE226097_seed_0d_relaxed_220711.rds(87MB), GSE226097_seed_125d_250805.rds(8.2GB), GSE226097_seed_125d_relaxed_220712.rds(478MB), GSE226097_seedling_12d_230221.rds.gz(2.1GB), GSE226097_seedling_12d_relaxed_220712.rds(336MB), GSE226097_seedling_3d_250805.rds(1.3GB), GSE226097_seedling_3d_relaxed_220711.rds(59MB), GSE226097_seedling_6d_230221.rds.gz(1.2GB), GSE226097_seedling_6d_relaxed_220710.rds(137MB), GSE226097_seedling_merge_220714.rds(799MB), GSE226097_silique_230221.rds.gz(2.0GB), GSE226097_silique_relaxed_220710.rds(508MB), GSE226097_spatial_dataset_flower_region1_250425.rds(3MB), GSE226097_spatial_dataset_flower_region2_250425.rds(2MB), GSE226097_spatial_dataset_flower_region2_long_250425.rds(2MB), GSE226097_stem_250805.rds(1.6GB), GSE226097_stem_relaxed_220706.rds(92MB)|development,plant_biology,cell_stress|A Single-Nucleus Atlas of Seed-to-Seed Development in Arabidopsis|Extensive model plant enabled deep understanding organs tissues throughout fundamental cell types states across still lacking present transcriptome encompassing diverse ten developmental time points|
GSE227898|spatial|Homo sapiens|62|GSE227898_RAW.tar(46.7GB)|cancer,epigenetics,kidney,signal_transduction|Epigenetic and transcriptomic characterization reveals progression markers and essential pathways in clear cell renal cell carcinoma|Identifying tumor-cell-specific elucidating regulation spatial heterogeneity mechanistic insights cancer etiology snRNA-seq snATAC-seq human ccRCC specimens matched bulk proteogenomics tumor-specific|
GSE224210|spatial|Homo sapiens|11|GSE224210_Cell_Identities.csv.gz(534KB), GSE224210_Normalized_Count_Matrix.csv.gz(113MB), GSE224210_RAW.tar(480MB)|development,fibrosis_wound,lung_respiratory,hematopoiesis,plant_biology,cell_stress|Single cell and spatial transcriptomic profile of whole CLAD and donor control lung tissue|Chronic allograft dysfunction leading cause death transplant recipients characterized clinically persistent decline pulmonary histologically development airway centered fibrosis bronchiolitis|
GSE227469|spatial|Homo sapiens|4|GSE227469_RAW.tar(569MB)|cancer,immunology,cardiovascular,infectious_disease,skeletal_muscle,eye_vision|Spatial transcriptomics reveal topological immune landscapes of Asian head and neck angiosarcoma|Angiosarcomas rare malignant tumors endothelium arising commonly region AS-HN recently ultraviolet exposure human herpesvirus-7 HHV-7 infection cases integrating information whole genome sequencing|
GSE226997|spatial|Homo sapiens|4|GSE226997_RAW.tar(41.2GB)|cancer|Visium Spatial transcriptomics analysis of human primary colorectal cancer|reveal distribution difference gene expression pattern cells four CRC patients applied|
GSE227088|spatial|Mus musculus|9|GSE227088_RAW.tar(263MB)|cardiovascular,cell_stress|Single-nucleus Ribonucleic Acid-sequencing and Spatial Transcriptomics Reveal the Cardioprotection of Shexiang Baoxin Pill (MUSKARDIA) in Mice with Myocardial Ischemia-Reperfusion Injury|extensively treat cardiovascular diseases China four decades clinical efficacy widely approved achieved largely unexplored Research attempting understand ongoing findings controversial aimed explore|
GSE226829|spatial|Homo sapiens|277|GSE226829_4895-EC-S6.png.gz(141MB), GSE226829_4895-EC-S7.png.gz(156MB), GSE226829_6287-EC-S1.png.gz(212MB), GSE226829_6495-EC-S1.png.gz(202MB), GSE226829_Hs_R_NGS_WTA_v1.0.pkc.gz(2MB), GSE226829_PostQC_logQ3_normalized_counts.xlsx(20MB), GSE226829_PostQC_probes.xlsx(365KB), GSE226829_PostQC_raw_counts.xlsx(9MB), GSE226829_PostQC_segments_annotation.xlsx(44KB), GSE226829_PreQC_probes.xlsx(862KB), GSE226829_PreQC_raw_counts.xlsx(24MB), GSE226829_PreQC_segments_annotation.xlsx(23KB), GSE226829_RAW.tar(17MB)|neuroscience,cell_stress|Analysis of donor pancreata defines the transcriptomic signature and microenvironment of early pre-neoplastic pancreatic lesions|adult healthy human pancreas poorly studied given lack indication obtain tissue absence disease rapid postmortem degradation obtained brain dead donors avoiding warm ischemia time diverse age race|
GSE200310|spatial|Homo sapiens|2|GSE200310_RAW.tar(27MB)|cancer,immunology|Spatial transcriptome sequencing of primary nasopharyngeal carcinoma tissues|Understanding architecture NPC microenvironment co-localization cell-cell communication tumor immune cells|
GSE213531|spatial|Escherichia coli K-12|6|GSE213531_Raw_gene_counts_matrix.txt.gz(65KB)|metabolism,infectious_disease,microbiology,signal_transduction|Spatial transcriptome uncovers rich coordination of metabolism and signaling in bacterial community (data 2)||
GSE225857|spatial|Homo sapiens|8|GSE225857_RAW.tar(607MB)|cancer,immunology,metabolism,liver|Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer|comprehensively charted landscape CRC well-matched RNA sequencing generated 41892 CD45 non-immune cells 196473 immune samples patients CD8_CXCL13 CD4_CXCL13 subsets increased exhibited high|
GSE222981|spatial|Mus musculus|3|GSE222981_RAW.tar(172MB)|neuroscience,cardiovascular|Moxibustion Improves Hypothalamus Aqp4 Polarization in APP/PS1 Mice: Evidence from Spatial Transcriptomics|Aquaporin-4 highly polarized perivascular astrocytic endfeet Loss many diseases Alzheimer disease loos normal location reduce clearance amyloid plaques Tau protein Clinical experimental learning|
GSE200984|spatial|Homo sapiens|37|GSE200984_RAW.tar(192MB)|cancer,neuroscience,drug_response|Re-convolving the compositional landscape of primary and recurrent glioblastoma reveals prognostic and targetable tissue states [snRNA]|aggressive diffusely infiltrating neoplasm spreads beyond surgical resection margins intermingles non-neoplastic brain cells complex microenvironment harbouring glioma origin tumor recurrence|
GSE225600|spatial|Homo sapiens|12|GSE225600_sc_barcodes.tsv.gz(342KB), GSE225600_sc_features.tsv.gz(132KB), GSE225600_sc_matrix.mtx.gz(390MB), GSE225600_ST_A_tissue_image.png.gz(584KB), GSE225600_ST_barcodes.tsv.gz(110KB), GSE225600_ST_B_tissue_image.png.gz(553KB), GSE225600_ST_C_tissue_image.png.gz(584KB), GSE225600_ST_D_tissue_image.png.gz(490KB), GSE225600_ST_features.tsv.gz(132KB), GSE225600_ST_matrix.mtx.gz(186MB)|cancer,metabolism,signal_transduction|Single-cell profiling and spatial transcriptome of primary tumors and paired metastatic lymph nodes in breast cancer patients|Metastasis leading cause death little dynamic changes dissemination generate RNA disseminated cluster high levels oxidative phosphorylation OXPHOS noticed transition glycolysis initiates Furth|
GSE178636|spatial|Mus musculus|4|GSE178636_RAW.tar(111MB)|development|Spatiotemporal transcriptomes of mouse embryo|spatial sequencing embryos cell atlas organogenesis|
GSE217936|spatial|Mus musculus|141|GSE217936_RAW.tar(9MB)|metabolism,hematopoiesis,plant_biology,cell_stress,liver|Gene expression profiles of mouse ischemia-reperfusion liver zones with or without celastrol-treated.|Hepatic I/R long affected success rate transplant Though zone-specific injury induced elaborated cellular molecular pattern Spatial transcriptomics great potential uncover|
GSE192460|spatial|Homo sapiens|21|GSE192460_ST_GEO_genes.csv.gz(301KB), GSE192460_ST_GEO_raw_counts.csv.gz(42MB), GSE192460_ST_GEO_spots.csv.gz(774KB)|immunology,development,skeletal_muscle|Single-cell and spatial architecture of human tissue granulomas reveals an aberrant immune-regulatory program underlying sarcoidosis [spatial transcriptomics data]|Purpose lumps cells form various organs causing chronic inflammation destruction While most appear histologically heterogeneous unstructured certain resemblance lymphoid organ formation pursued|
GSE192456|spatial|Homo sapiens|36|GSE192456_SC_GEO_cells.csv.gz(2MB), GSE192456_SC_GEO_genes.csv.gz(276KB), GSE192456_SC_GEO_raw_counts.csv.gz(238MB)|immunology,development,skeletal_muscle|Single-cell and spatial architecture of human tissue granulomas reveals an aberrant immune-regulatory program underlying sarcoidosis [single-cell sequencing]|Purpose lumps cells form various organs causing chronic inflammation destruction While most appear histologically heterogeneous unstructured certain resemblance lymphoid organ formation pursued|
GSE110284|spatial|Mus musculus|586|GSE110284_E5.5_Embryo1_all.samples.genes.fpkm.txt.gz(404KB), GSE110284_E5.5_Reference_all.samples.genes.fpkm.txt.gz(432KB), GSE110284_E6.0_E6_all.samples.genes.fpkm.txt.gz(1MB), GSE110284_E6.0_Embryo1_all.samples.genes.fpkm.txt.gz(470KB), GSE110284_E6.0_Reference_all.samples.genes.fpkm.txt.gz(600KB), GSE110284_E6.5_E1_all.samples.genes.fpkm.txt.gz(717KB), GSE110284_E6.5_E2_all.samples.genes.fpkm.AP.txt.gz(705KB), GSE110284_E6.5_E3_all.samples.genes.fpkm.AP.txt.gz(656KB), GSE110284_E6.5_E4_all.samples.genes.fpkm.txt.gz(778KB), GSE110284_E6.5_E5_all.samples.genes.fpkm.txt.gz(1MB), GSE110284_E7.0_E3_all.samples.genes.fpkm.txt.gz(2MB), GSE110284_E7.0_Ref_all.samples.genes.fpkm.txt.gz(2MB), GSE110284_E7.5_E1_all.samples.genes.fpkm.APLR.txt.gz(2MB), GSE110284_E7.5_E2_all.samples.genes.fpkm.APLR.txt.gz(2MB), GSE110284_E7.5_E3_all.samples.genes.fpkm.APLR.txt.gz(3MB), GSE110284_E7.5_E5_all.samples.genes.fpkm.txt.gz(2MB), GSE110284_E7.5_E7_all.samples.genes.revise.fpkm.txt.gz(3MB), GSE110284_E7.5_Ref_all.samples.genes.fpkm.txt.gz(3MB)|development,reproduction,plant_biology,signal_transduction,eye_vision|Developmental spatial transcriptome for the molecular annotation of germ layer formation and the acquisition of tissue lineage attributes of post-implantation mouse embryo|blueprint embryonic first visualized context regionalization cell fates tissues Knowledge genetic signaling activities underpin gastrulation specification patterning gleaned embryological|
GSE207205|spatial|Homo sapiens|8|GSE207205_RAW.tar(410MB)|immunology,development,drug_response|Multimodal human thymic profiling reveals trajectories and cellular milieu for T agonist selection [Spatial transcriptomics]|prevent autoimmunity thymocytes expressing self-reactive receptors TCRs negatively selected divergence tolerogenic agonist-selected lineages represent alternative fate thymocyte development lineage|multiomics
GSE207204|spatial|Homo sapiens|20|GSE207204_RAW.tar(1.4GB)|immunology,development,drug_response|Multimodal human thymic profiling reveals trajectories and cellular milieu for T agonist selection [CITE-seq]|prevent autoimmunity thymocytes expressing self-reactive receptors TCRs negatively selected divergence tolerogenic agonist-selected lineages represent alternative fate thymocyte development lineage|multiomics
GSE206621|spatial|Homo sapiens|8|GSE206621_RAW.tar(127MB)|cancer,immunology,development,infectious_disease,drug_response|Mapping the Spatial Dynamics of the Human Oral Mucosa in Chronic Inflammatory Disease|interplay among different cells tissue essential maintaining homeostasis states traditionally attributed individual cell types increasing evidence new therapeutic options demonstrated primary|
GSE179705|spatial|Homo sapiens; Mus musculus|6|GSE179705_RAW.tar(199MB)|cancer,immunology,epigenetics,cell_stress|Cancer-associated fibroblasts recapitulate phenotypes and functions across tumor types and species|CAFs among most abundant cell desmoplastic tumors treatment target mainstream therapy likely because CAF heterogeneity solid incompletely understood explored via single-cell gene expression chromatin|
GSE222322|spatial|Homo sapiens|20|GSE222322_donor_to_patient_ids.csv.gz(106B), GSE222322_lowres_images.tar.gz(27MB), GSE222322_RAW.tar(534MB), GSE222322_scalefactors.tar.gz(1KB)|neuroscience|Spatial transcriptomics on human lumbar spinal cord|includes 10x Genomics Visium platform Frozen sections placed slide arrays processed workflow followed alignment quantification spaceranger package|
GSE186213|spatial|Homo sapiens|47|GSE186213_Alpha_CTA_v2.0.pkc.txt.gz(676KB), GSE186213_GeoMx_COVID19_v1.0.pkc.txt.gz(9KB), GSE186213_Initial_Dataset.xlsx(3MB), GSE186213_Post_Biological_Probe_QC.xlsx(2MB), GSE186213_qn.exprs.corrected.tsv.gz(716KB), GSE186213_qn.exprs.tsv.gz(438KB), GSE186213_RAW.tar(178MB)|immunology,infectious_disease,fibrosis_wound,lung_respiratory,cell_stress,signal_transduction,eye_vision|Spatial transcriptomic characterization of the lung parenchyma during COVID-19 pneumonitis|Severe damage involve complex interactions diverse populations immune stromal cells manifesting acute respiratory distress syndrome spatially heterogenous manifestations injury infiltrates loss|
GSE223066|spatial|Mus musculus|34|GSE223066_cellranger-atac_outputs.tar.gz(5.6GB), GSE223066_RAW.tar(350MB), GSE223066_split-pipe_outputs.tar.gz(350MB), GSE223066_tximport-counts_learning1.txt.gz(880KB)|neuroscience,epigenetics,signal_transduction|Mapping the spatial transcriptomic signature of the hippocampus during memory consolidation|report bulk dataset mouse dorsal identify gene expression changes object recognition training transcriptomics brain tissue generated 10x Genomics Visium platform profiles single nuclei ATAC-seq|
GSE194329|spatial|Homo sapiens|11|GSE194329_RAW.tar(2.4GB)|cancer,neuroscience|Spatial multi-omics reveals vulnerabilities of radial glia-like cancer-initiating cells within distinct ecosystems of pediatric and adult malignant gliomas|collected five DMG GBM two secondary one peritumor samples eleven patients requiring surgical resection establish atlas spatially-resolved gene expression short-read transcriptomic sequencing tissue|multiomics
GSE213666|spatial|Mus musculus|1|GSE213666_RAW.tar(506MB)|development,cardiovascular,cell_stress,eye_vision|Multi-omics profiling visualizes dynamics of cardiac development and functions|phenotype transitions heart specific one other chamber sets chambers separately conducted spatial transcriptomics E10 hearts identify unique gene profiles correspond distinct anatomical regions early|
GSE222410|spatial|Mus musculus|16|GSE222410_RAW.tar(409MB)|neuroscience|Spatial transcriptomics reveals unique gene expression changes in different brain regions after sleep deprivation|report dataset mouse tissue generated 10x Genomics Visium platform identify|
GSE214964|spatial|Bacillus subtilis|27|GSE214964_processeddata_bsubbiofilm.csv.gz(518KB)|development,gut_intestine,microbiology|Spatial transcriptome unveils the heterogeneity between subpopulations of Bacillus subtilis surface-associated communities|extensively model molecular biofilm formation encompassed development complex macro-colonies agar pellicles air-liquid interface lately submerged architectural biofilms solid-liquid Beside|
GSE197541|spatial|Escherichia coli BW25113|38|GSE197541_Raw_gene_counts_matrix.txt.gz(243KB)|development,infectious_disease,microbiology|RAINBOW-seq to capture the spatial transcriptome of bacterial biofilm|developed spatially resolved method profile detail fluorescent dyes label different regions cultured microfluidic chip staining cells sorted relevant bins according information marked pattern Finally|
GSE235911|spatial|Mus musculus|6|GSE235911_bulkRNAseq_count_table.txt.gz(4MB)|cancer,immunology,hematopoiesis,drug_response,microbiology,cell_cycle|Siglec-9 acts as an immune checkpoint molecule on macrophages in glioblastoma, restricting T cell priming and immunotherapy response [bulk RNA-seq]|neoadjuvant blockade benefits limited fraction multiforme GBM patients targeting immunomodulators myeloid cells attractive therapeutic option single-cell sequencing spatial transcriptomics treated|
GSE235676|spatial|Mus musculus; Homo sapiens|25|GSE235676_GBM.RNA.integrated.24.rds.gz(5.8GB), GSE235676_mouse.GBM.scRNA.integrated.rds.gz(583MB), GSE235676_RAW.tar(1.1GB)|cancer,immunology,hematopoiesis,drug_response,microbiology,cell_cycle|Siglec-9 acts as an immune checkpoint molecule on macrophages in glioblastoma, restricting T cell priming and immunotherapy response [scRNA-seq]|neoadjuvant blockade benefits limited fraction multiforme GBM patients targeting immunomodulators myeloid cells attractive therapeutic option single-cell sequencing spatial transcriptomics treated|
GSE234814|spatial|Homo sapiens|10|GSE234814_RAW.tar(182MB)|immunology,metabolism|A spatially resolved single cell genomic atlas of the adult human breast [visium]|comprises intricate network epithelial ducts lobules embedded connective adipose tissue While most previous focused system many non-epithelial types understudied constructed comprehensive HBCA|
GSE199659|spatial|Mus musculus|4|GSE199659_file_description.txt.gz(737B), GSE199659_RAW.tar(223MB)|skeletal_muscle,plant_biology|Spatial transcriptomics (Visium, 10x Genomics) data of Duchenne mouse models|Quadricep sections 10µm thick placed slide obtain datasets skeletal muscle|
GSE210041|spatial|Homo sapiens|2|GSE210041_RAW.tar(117MB)|cancer,immunology,fibrosis_wound,kidney,drug_response,cell_stress,cell_cycle|Mesenchymal-like tumor cells and myofibroblastic cancer-associated fibroblasts are associated with progression and immunotherapy response of clear-cell renal cell carcinoma [spatial transcriptomics]|Immune checkpoint inhibitors ICI represent cornerstone treatment patients metastatic ccRCC Despite favorable subset others experience primary progressive disease highlighting need precisely|
GSE210038|spatial|Homo sapiens|9|GSE210038_RAW.tar(99MB)|cancer,immunology,fibrosis_wound,kidney,drug_response,cell_stress,cell_cycle|Mesenchymal-like tumor cells and myofibroblastic cancer-associated fibroblasts are associated with progression and immunotherapy response of clear-cell renal cell carcinoma [scRNA-seq]|Immune checkpoint inhibitors ICI represent cornerstone treatment patients metastatic ccRCC Despite favorable subset others experience primary progressive disease highlighting need precisely|
GSE208253|spatial|Homo sapiens|12|GSE208253_RAW.tar(153MB)|cancer,drug_response,cell_stress|Spatial transcriptomics reveals distinct and conserved tumor core and edge architectures that predict survival and targeted therapy response|first integrative single-cell HPV-negative oral squamous cell carcinoma OSCC comprehensively characterize leading transcriptional characterized unique profiles cellular compositions ligand-receptor|
GSE202638|spatial|Mus musculus; synthetic construct|1335|GSE202638_RAW.tar(4.7GB)|cell_stress|Spatial Transcriptomics correlated Electron Microscopy|SuperSeries composed SubSeries listed|
GSE202636|spatial|Mus musculus|1332|GSE202636_SmartSeq2_expression.txt.gz(7MB), GSE202636_SmartSeq2_metadata.txt.gz(138KB)|cell_stress|Spatial Transcriptomics correlated Electron Microscopy [scRNA-Seq]|Current methods identify cell types states context lack morphological information contrast structural details nanometer resolution without decoding diverse cellular identity STEM address limitation|
GSE235236|spatial|Homo sapiens|56|GSE235236_RAW.tar(133MB)|cancer,immunology,gut_intestine|Bulk RNAseq expression data of colon biopsies from intestinal mucosa of non-IBD controls and patients with Crohn's disease or ulcerative colitis|chronic inflammatory diseases perplexing heterogeneity manifestations response treatment While molecular basis uncharacterized single-cell technologies allow explore transcriptional states within|
GSE225766|spatial|Mus musculus|11|GSE225766_RAW.tar(121MB)|fibrosis_wound,skeletal_muscle|A cellular and molecular spatial atlas of dystrophic muscle|Asynchronous skeletal degeneration/regeneration hallmark feature Duchenne muscular dystrophy DMD traditional omics technologies lack context make difficult biological regeneration contributes disease|
GSE217615|spatial|Mchenga conophoros|13|GSE217615_RAW.tar(164MB)|neuroscience,reproduction|Cellular profiling of a recently-evolved social behavior [spatial transcriptomics]|behaviors essential survival reproduction vary strongly among individuals species heritable brain diseases molecular bases variation poorly resolved discovering them necessary understand neural|
GSE197023|spatial|Homo sapiens|20|GSE197023_RAW.tar(240MB)|immunology,neuroscience,infectious_disease,skin,microbiology|Spatial transcriptomics combined with single-cell RNA-sequencing unravels the complex inflammatory cell network in atopic dermatitis [ST]|most common chronic skin disease pathogenesis whole biopsy suction blister material cellular molecular features leukocyte-infiltrated area unique clusters fibroblasts dendritic cells macrophages|
GSE234266|spatial|Mus musculus|2|GSE234266_RAW.tar(29MB)|cancer,skin,drug_response,cell_stress|Pharmacological targeting Netrin-1 inhibits EMT in cancer [Visium]|Epithelial-to-Mesenchymal transition regulates tumour initiation progression metastasis resistance anti-cancer therapy great progress recently made understanding regulate therapeutic strategy|
GSE228779|spatial|Homo sapiens|60|GSE228779_geo_submission_spatial_transcriptomics_Q3_normalized_dataset.xlsx(11MB)|immunology,metabolism,infectious_disease,liver|Morphologic and molecular analysis of liver injury after SARS-CoV-2 vaccination reveals distinct characteristics [RNA-seq]|Background Aims COVID-19 rare shows clinical histomorphological similarities autoimmune hepatitis AIH Little pathophysiology vaccine-induced VILI relationship Methods Formalin-fixed paraffin-embedded|
GSE173786|spatial|Nematostella vectensis|31|GSE173786_Bulk_RNAseq_raw_reads_count_table.csv.gz(3MB), GSE173786_RAW.tar(26MB)|development,skeletal_muscle,cell_stress,signal_transduction|Spatial transcriptomics reveals a conserved segment polarity program that governs muscle patterning in Nematostella vectensis|early animal evolution emergence axially-polarized segments central diversification complex bilaterian body plans Nevertheless precisely pathways arose obscure molecular basis polarization developing|
GSE229532|spatial|Mus musculus|2|GSE229532_annotated_spatial_object.RData.gz(209MB), GSE229532_clustered_spatial_object.RData.gz(216MB), GSE229532_RAW.tar(22MB)|cancer,immunology|MacroH2A restricts melanoma progression via inhibition of chemokine expression in cancer-associated fibroblasts [spatial transcriptomics]|tumor suppressive other cancers microenvironment unappreciated autochthonous immunocompetent mouse model mice devoid variants exhibit increased burden wild type counterparts MacroH2A-deficient tumors|
GSE233317|spatial|Mus musculus|2|GSE233317_GNASmouse_onlydox_merge.rds.gz(287MB), GSE233317_RAW.tar(102MB)||Visium Spatial Transcriptomics of a murine model of IPMN|Pancreata collected two Kras Gnas mice analyzed Gene Expression evaluate transcriptional profile NKX6-2 human samples|
GSE233293|spatial|Homo sapiens|13|GSE233293_All_RCTD.final.rds.gz(119MB), GSE233293_RAW.tar(216MB), GSE233293_scMC.all.3areas.final.rds.gz(604MB), GSE233293_scMC.merge.all.final.rds.gz(126MB)|cancer|Visium Spatial Transcriptomics expression profiles from IPMN samples of the pancreas|Intraductal Papillary Mucinous Neoplasms pancreatic cysts progress cancer characterize epithelium microenvironment different grades histological subtypes|
GSE233254|spatial|Mus musculus; Homo sapiens|33|GSE233254_RAW.tar(318MB)|cancer,development|Spatial Transcriptomics of Intraductal Papillary Mucinous Neoplasms of The Pancreas Identifies NKX6-2 Expression as a Driver of Gastric Differentiation and Indolent Biological Potential|SuperSeries composed SubSeries listed|
GSE228891|spatial|Mus musculus|4|GSE228891_RAW.tar(1.8GB)|immunology|Protecting RNA Integrity for Spatial Transcriptomics While Improving Immunofluorescent Staining Quality|comparison bulk sequencing single cell preserves information tissue slices even mapped stainings enables unravel complex interactions neighboring cells link morphology transcriptome 10x genomics|
GSE202742|spatial|Homo sapiens|4|GSE202742_RAW.tar(51MB)|cancer,immunology|Schwann Cells Shape Tumor Cells and Cancer-Associated Fibroblasts in the Pancreatic Ductal Adenocarcinoma Microenvironment [scRNA-seq]|Neuropathy feature more frequently PDAC other tumors most prevalent peripheral nerves migrate toward poor prognosis unveil effects neuro-stroma niche single-cell RNA-sequencing microarray-based|
GSE202740|spatial|Homo sapiens|4|GSE202740_RAW.tar(1017MB)|cancer,immunology|Schwann Cells Shape Tumor Cells and Cancer-Associated Fibroblasts in the Pancreatic Ductal Adenocarcinoma Microenvironment [ST]|Neuropathy feature more frequently PDAC other tumors most prevalent peripheral nerves migrate toward poor prognosis unveil effects neuro-stroma niche single-cell RNA-sequencing microarray-based|
