# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE216404|multiome|Homo sapiens|1|GSE216404_HepG2_cell_meta.tsv.gz(3MB), GSE216404_RAW.tar(795MB)|development,epigenetics,gene_regulation|Multi-scale chromatin footprinting reveals wide-spread alterations to the structure of DNA regulatory elements [SHARE-Seq]|Cis-regulatory CREs bound diverse chromatin-associated proteins cooperate establish gene expression change over time cell fate function1 develop framework uses deep learning correct Tn5 sequence bias|multiomics
GSE216897|cite_seq|Mus musculus|4|GSE216897_filtered_feature_bc_matrix_sample_476.h5ad.gz(14MB), GSE216897_filtered_feature_bc_matrix_sample_477.h5ad.gz(14MB)|cancer,signal_transduction|Constitutive active STING signaling in MC38 tumor cells [CITE-seq]|Parental transduced STING-N153S mutant|multiomics
GSE211387|other_multiomics|Mus musculus|12|GSE211387_RAW.tar(1.5GB)|cancer,neuroscience,development,epigenetics,crispr_gene_editing|Single substitution in H3.3G34 alters DNMT3A recruitment to cause progressive neurodegeneration [multiome]|Germline histone amino acid substitutions 3G34R/V severe neurodevelopmental syndromes understand mutations impact brain development generated 3G34R/V/W knock-in mice strikingly distinct developmental|multiomics
GSE202500|other_multiomics|Homo sapiens|41|no_suppl|development,metabolism|Improving stem cell-derived pancreatic islets using single-cell multiome-inferred regulomes|SuperSeries composed SubSeries listed|multiomics
GSE189158|other_multiomics|Homo sapiens|12|GSE189158_RAW.tar(23.6GB)|epigenetics,skeletal_muscle,gene_regulation|NOMe-HiC: joint profiling of genetic variants, DNA methylation, chromatin accessibility, and 3D genome in the same DNA molecule|Cis-regulatory elements coordinate regulation targeted genes expression measurement activities interactions spatial proximity limited current sequencing approaches describe method simultaneously|multiomics
GSE158888|cite_seq|Mus musculus|3|GSE158888_MCT.singlet_CITE.csv.gz(96KB), GSE158888_MCT.singlet_metadata.csv.gz(173KB), GSE158888_MCT.singlet_RNA.csv.gz(93MB), GSE158888_TotalA_Ref.csv.gz(878B)|cancer,immunology,drug_response|Chemotherapy-mediated changes in the immune cell landscape of murine triple negative breast cancer.|CITE-seq 10x Genomics-based profile compare transcriptomes surface expression epitopes primary tumors transgenic mice C3-1-TAg without MCT sequenced total six different tumor samples created antibody|multiomics
GSE197912|multiome|Homo sapiens|4|GSE197912_RAW.tar(3.6GB)|cancer,development,signal_transduction|GRHL2 and AP2a coordinate early surface ectoderm lineage commitment and craniofacial development (Multiome)|scRNA scATAC hESCs days RA/BMP4 10x|multiomics
GSE216884|cite_seq|Homo sapiens|3|GSE216884_RAW.tar(189MB)|immunology,infectious_disease|Single cell transcriptome and surface protein expression analysis identify OX40+GITR+ pathogenic T helper 17 in anklyosing spondilytis [CITE-seq]|unveiled characteristics pTh17s polyfunctional IL-17A IFN-γ-producing memory CD4 cells scRNA-seq cytometry co-expression increased pTh17|multiomics
GSE197400|cite_seq|Mus musculus|6|GSE197400_meis1_oe_gene_counts.txt.gz(499KB)|development,cardiovascular,hematopoiesis|Meis1 establishes the pre-hemogenic endothelial state prior to Runx1 expression II|Hematopoietic stem progenitor cells HSPCs originate endothelial-to-hematopoietic transition EHT embryogenesis Characterization early required understand drives specification accurately define capable|multiomics
GSE197244|cite_seq|Mus musculus|8|GSE197244_cell_annotation_matrix.csv.gz(102KB), GSE197244_Features_count_matrix.csv.gz(59MB)|development,cardiovascular,hematopoiesis|Meis1 establishes the pre-hemogenic endothelial state prior to Runx1 expression [CITE-seq]|Hematopoietic stem progenitor cells HSPCs originate endothelial-to-hematopoietic transition EHT embryogenesis Characterization early required understand drives specification accurately define capable|multiomics
GSE224767|cite_seq|Homo sapiens|2|GSE224767_feature_reference.csv.gz(1KB), GSE224767_RAW.tar(135MB)|immunology,development,metabolism,plant_biology|Strategies for optimizing CITE-seq for human islets and other tissues|Defining immunological landscape important area research challenges include impact disaggregation cell phenotypes low abundance immune cells many describe methods troubleshoot standardize Cellular|multiomics
GSE224149|multiome|Homo sapiens; Mus musculus|13|GSE224149_RAW.tar(32.3GB)|epigenetics|Scalable co-sequencing of RNA and DNA from individual nuclei|present DEFND-seq Expression Nucleosome Depletion method single treat lithium diiodosalicylate disrupt chromatin expose genoimc tagmented Tn5 transposase fragments tags gDNA loaded microfluidic|multiomics
GSE213939|cite_seq|Mus musculus|4|GSE213939_RAW.tar(1.5GB)|cancer,immunology,drug_response,cell_stress,cell_cycle,signal_transduction|mTORC1 upregulates B7-H3/CD276 to inhibit antitumor T cells and drive tumor immune evasion [CITE-Seq]|checkpoints often expressed prevailing need identify regulation therapeutic benefit checkpoint molecule upregulated many human tumors high mechanistic/mammalian target rapamycin complex activity|multiomics
GSE224563|other_multiomics|Mus musculus|52|GSE224563_DMR_de_novo_common.bed.gz(83KB), GSE224563_DMR_de_novo_HC-specific.bed.gz(58KB), GSE224563_DMR_de_novo_SC-specific.bed.gz(27KB), GSE224563_DMR_pre-established.bed.gz(25KB), GSE224563_P1_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_barcodes.tsv.gz(2MB), GSE224563_P1_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_features.tsv.gz(4MB), GSE224563_P1_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_matrix.mtx.gz(302MB), GSE224563_P1_wildtype_10x_scRNA_scATAC.h5seurat(1.7GB), GSE224563_P1_wildtype_10x_scRNA_scATAC_seurat.rds.gz(1.0GB), GSE224563_P70_cochlea_deafened_10x_scRNA_scATAC_raw_feature_bc_matrix_barcodes.tsv.gz(1MB), GSE224563_P70_cochlea_deafened_10x_scRNA_scATAC_raw_feature_bc_matrix_features.tsv.gz(3MB), GSE224563_P70_cochlea_deafened_10x_scRNA_scATAC_raw_feature_bc_matrix_matrix.tsv.gz(51MB), GSE224563_P70_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_barcodes.tsv.gz(869KB), GSE224563_P70_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_features.tsv.gz(2MB), GSE224563_P70_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_matrix.tsv.gz(31MB), GSE224563_P70_integrate_wildtype_deaf_10x_scRNA_scATAC.h5seurat(955MB), GSE224563_P70_integrate_wildtype_deaf_10x_scRNA_scATAC_seurat.rds.gz(214MB), GSE224563_P8_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_barcodes.tsv.gz(2MB), GSE224563_P8_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_features.tsv.gz(2MB), GSE224563_P8_cochlea_wildtype_10x_scRNA_scATAC_raw_feature_bc_matrix_matrix.mtx.gz(296MB), GSE224563_P8_wildtype_10x_scRNA_scATAC.h5seurat(1.2GB), GSE224563_P8_wildtype_10x_scRNA_scATAC_seurat.rds.gz(573MB), GSE224563_RAW.tar(9.5GB)|development,epigenetics,fibrosis_wound,cell_stress|DNA methylation in the mouse cochlea promotes maturation of supporting cells and contributes to the failure of hair cell regeneration|Purpose profile epigenetic changes cochlear progenitor across postnatal development Methods types obtained fluorescently labeled transgenic mice E13 prosensory 5_PG p27Kip1-GFP P1_HC Atoh1-GFP P1_SC|multiomics
GSE200044|other_multiomics|Homo sapiens|40|GSE200044_10x_filtered_matrix.tar.gz(2.8GB), GSE200044_cell_cluster.tar.gz(20.2GB), GSE200044_multiome_beta_annotation.csv.gz(873KB), GSE200044_processed_matrix.tar.gz(1.1GB)|immunology,metabolism,microbiology|Single-cell multiome (ATAC and RNA) landscapes of human islets in normoglycemia, prediabetes and type 2 diabetes|sequencing profile 85266 cells individuals non-diabetic pre-diabetic diabetic T2D donors characterize changes regulatory programs types subtypes progression describe relationship genetic risk use|multiomics
GSE196047|cite_seq|Mus musculus|2|GSE196047_processed_RNAseq_Runx1-HE.xlsx(2MB)|development,cardiovascular,hematopoiesis|Meis1 establishes the pre-hemogenic endothelial state prior to Runx1 expression|Hematopoietic stem progenitor cells HSPCs originate endothelial-to-hematopoietic transition EHT embryogenesis Characterization early required understand drives specification accurately define capable|multiomics
GSE207205|cite_seq|Homo sapiens|8|GSE207205_RAW.tar(410MB)|immunology,development,drug_response|Multimodal human thymic profiling reveals trajectories and cellular milieu for T agonist selection [Spatial transcriptomics]|prevent autoimmunity thymocytes expressing self-reactive receptors TCRs negatively selected divergence tolerogenic agonist-selected lineages represent alternative fate thymocyte development lineage|multiomics
GSE207204|cite_seq|Homo sapiens|20|GSE207204_RAW.tar(1.4GB)|immunology,development,drug_response|Multimodal human thymic profiling reveals trajectories and cellular milieu for T agonist selection [CITE-seq]|prevent autoimmunity thymocytes expressing self-reactive receptors TCRs negatively selected divergence tolerogenic agonist-selected lineages represent alternative fate thymocyte development lineage|multiomics
GSE223917|other_multiomics|Mus musculus|7895|GSE223917_brain_genome1.tsv.gz(2MB), GSE223917_brain_genome2.tsv.gz(2MB), GSE223917_embryo_genome1.tsv.gz(21MB), GSE223917_embryo_genome2.tsv.gz(20MB), GSE223917_HiRES_brain_metadata.xlsx(84KB), GSE223917_HiRES_brain.rna.umicount.tsv.gz(3MB), GSE223917_HiRES_emb_GADIs.tsv.gz(14MB), GSE223917_HiRES_emb_metadata.xlsx(2MB), GSE223917_HiRES_emb_residuals-updated-02-22-2023.tsv.gz(7MB), GSE223917_HiRES_emb.rna.umicount.tsv.gz(36MB), GSE223917_HiRES_emb_significant_DIs.tsv.gz(191MB), GSE223917_RAW.tar(75.0GB)|development,epigenetics,cell_cycle|﻿Linking genome structures to functions during lineage specification by simultaneous single-cell Hi-C and RNA-seq  simultaneous single-cell Hi-C and RNA-seq|Remarkable progress made recently chromosome conformation capture technologies method allows profiling chromatin architecture gene expression reported developed assay named employed simultaneously|multiomics
GSE218593|other_multiomics|Mus musculus|6|GSE218593_RAW.tar(142MB)|immunology,epigenetics|Spatial epigenome-transcriptome co-profiling of mammalian tissues|present spatially resolved high-spatial-resolution genome-wide co-mapping simultaneously chromatin accessibility gene expression spatial-ATAC-RNA-seq histone modification spatial-CUT Tag-RNA-seq|multiomics
GSE205055|other_multiomics|Homo sapiens; Mus musculus|22|GSE205055_RAW.tar(7.6GB)||Spatial epigenome-transcriptome co-profiling of mammalian tissues|SuperSeries composed SubSeries listed|multiomics
GSE223636|other_multiomics|Danio rerio|4|GSE223636_RAW.tar(1.2GB)|development,epigenetics,plant_biology|Differential Nodal level promotes mesendoderm cell fate segregation mediated by chromatin organization|Purpose investigate prechordal plate anterior separation Methods injected explants 10pg ndr2 mRNA constructed lft1 mutants ndr1 morphants harvested 6hpf Libraries prepared Chromium Controller Single|multiomics
GSE194329|spatial_multiomics|Homo sapiens|11|GSE194329_RAW.tar(2.4GB)|cancer,neuroscience|Spatial multi-omics reveals vulnerabilities of radial glia-like cancer-initiating cells within distinct ecosystems of pediatric and adult malignant gliomas|collected five DMG GBM two secondary one peritumor samples eleven patients requiring surgical resection establish atlas spatially-resolved gene expression short-read transcriptomic sequencing tissue|multiomics
GSE216488|cite_seq|Homo sapiens|10|GSE216488_IRF1-02-MM-GEX_LAN1403A4-1_IRF1-02-MM-CSP_LAN1403A6-1_filtered_barcodes.tsv.gz(46KB), GSE216488_IRF1-02-MM-GEX_LAN1403A4-1_IRF1-02-MM-CSP_LAN1403A6-1_filtered_features.tsv.gz(326KB), GSE216488_IRF1-02-MM-GEX_LAN1403A4-1_IRF1-02-MM-CSP_LAN1403A6-1_filtered_matrix.mtx.gz(53MB), GSE216488_PED-CONT-MM-GEX_LAN1403A3-1_PED-CONT-MM-CSP_LAN1403A5-1_filtered_barcodes.tsv.gz(23KB), GSE216488_PED-CONT-MM-GEX_LAN1403A3-1_PED-CONT-MM-CSP_LAN1403A5-1_filtered_features.tsv.gz(326KB), GSE216488_PED-CONT-MM-GEX_LAN1403A3-1_PED-CONT-MM-CSP_LAN1403A5-1_filtered_matrix.mtx.gz(39MB), GSE216488_RAW.tar(312MB)|immunology,infectious_disease,microbiology,gene_regulation|Human IRF1 governs phagocytic IFN-γ immunity to mycobacteria but not cell-intrinsic IFN-a/b immunity to viruses [CITEseq]|Inborn errors underlie mycobacterial diseases while viral types IFNs induce transcription factor describe two unrelated children inherited complete deficiency early-onset multiple life-threatening|multiomics
GSE205570|other_multiomics|Mus musculus|8|GSE205570_Multiome_BM_BRM014.h5(30MB), GSE205570_Multiome_BM_vehicle.h5(68MB), GSE205570_Multiome_PB_BRM014.h5(38MB), GSE205570_Multiome_PB_vehicle.h5(66MB)|cancer,immunology,epigenetics,skeletal_muscle,hematopoiesis,drug_response|Changes of DNA accessibility and RNA transcription upon SWI/SNF inhibition in peripheral blood and bone marrow cells [multiome]|Despite therapeutic potential therapy off-tumor effects largely unknown quantify dual ATPase inhibitor BRM014 mice identify altered chromatin regulatory monocytes|multiomics
GSE217460|multiome|Homo sapiens|48|GSE217460_210322_TFAtlas_differentiated.h5ad.gz(634MB), GSE217460_210322_TFAtlas_differentiated_raw.h5ad.gz(121MB), GSE217460_210322_TFAtlas_raw.h5ad.gz(4.4GB), GSE217460_210322_TFAtlas_S01-S04.csv.gz(831MB), GSE217460_210322_TFAtlas_subsample.h5ad.gz(11.5GB), GSE217460_210322_TFAtlas_subsample_raw.h5ad.gz(2.6GB), GSE217460_RAW.tar(11.8GB)|development,gene_regulation|A Transcription Factor Atlas of Directed Differentiation [SHAREseq_210322_TFAtlas]|SHARE-seq single-cell RNA-seq profiling hESCs overexpressing factors|multiomics
GSE217215|multiome|Homo sapiens|36|GSE217215_201218_ATAC_fragments.tsv.gz(11.1GB), GSE217215_201218_ATAC.h5ad.gz(485MB), GSE217215_201218_ATAC_subsample.rds.gz(3.9GB), GSE217215_RAW.tar(1.6GB)|development,gene_regulation|A Transcription Factor Atlas of Directed Differentiation [SHAREseq_201218_ATAC]|SHARE-seq single-cell RNA-seq profiling hESCs overexpressing factors|multiomics
GSE217066|multiome|Homo sapiens|12|GSE217066_210715_combinatorial.h5ad.gz(5.4GB), GSE217066_210715_combinatorial_subsample.h5ad.gz(1.1GB), GSE217066_RAW.tar(1.5GB)|development,gene_regulation|A Transcription Factor Atlas of Directed Differentiation [SHAREseq_210715_combinatorial]|SHARE-seq single-cell RNA-seq profiling hESCs overexpressing combinations factors|multiomics
GSE213264|cite_seq|Mus musculus; Homo sapiens|18|GSE213264_RAW.tar(30MB)|immunology,infectious_disease,skin|High-plex protein and whole transcriptome co-mapping at cellular resolution with spatial CITE-seq|present spatial-CITE-seq firstly demonstrated profiling 189 proteins multiple mouse tissue types applied human tissues measure 273 spatially distinct germinal center reaction tonsil early immune|multiomics
GSE206265|cite_seq|Homo sapiens|86|GSE206265_covid_flu.CITEseq.pseudobulk.gene.expr.RDS.gz(111MB), GSE206265_covid_flu.CITEseq.Seurat.obj.RDS.gz(27.3GB)|immunology,epigenetics,infectious_disease|Influenza vaccination reveals sex dimorphic imprints of prior mild COVID-19 [single-cell CITEseq]|Acute viral infections durable functional impacts immune system long recovery affect homeostatic states responses future perturbations poorly understood use systems immunology approaches longitudinal|multiomics
GSE221787|cite_seq|Homo sapiens|165|GSE221787_ADT_catalog.csv.gz(3KB), GSE221787_HTO_catalog.csv.gz(157B), GSE221787_HTO_to_Sample.csv.gz(643B), GSE221787_HTO_to_Sample_v2.csv.gz(730B), GSE221787_RAW.tar(16.6GB)|immunology,metabolism,gut_intestine|CITEseq of lymphocytes from pancreatic lymph nodes, mesenteric lymph nodes, and spleen from 17 Human Pancreas Analysis Program (HPAP) donors|Type diabetes T1D caused autoimmune destruction insulin-producing beta cells leading life-long dependence exogenous insulin Profiling immune infiltrate islets invaluable understanding cell occurs|multiomics
GSE202110|cite_seq|Mus musculus|3|GSE202110_Metadata_Kevin.xlsx(2MB), GSE202110_RAW.tar(52MB)|immunology,development|Age-Associated B Cells are Heterogenous and Dynamic in Autoimmunity|ABCs population CD11c and/or CD11b expanded autoimmune lupus understand potential heterogeneity within relationship other splenic subsets scRNA-seq CITE-seq surface features 10x Genomics Chromium|multiomics
GSE230182|cite_seq|Homo sapiens|2|GSE230182_barcodes.tsv.gz(44KB), GSE230182_features.tsv.gz(326KB), GSE230182_matrix.mtx.gz(124MB)|cancer,development,aging,gut_intestine,hematopoiesis,crispr_gene_editing,cell_stress|Cellular Indexing of Transcriptomes and epitopes sequencing (CITE-seq) analysis to investigate the impact of granulocyte-colony stimulating factor on CRISPR/Cas9 gene edited human hematopoietic stem cell function|research demonstrated G-CSF impedes engraftment CRISPR-Cas9 cells HSCs exacerbating p53-mediated DNA damage response potential exacerbate HSC toxicity mediated DNA-damaging nucleases considered|multiomics
GSE186078|cite_seq|Mus musculus|19|GSE186078_RAW.tar(580MB), GSE186078_ZRS06_ZRS07_barcodes.tsv.gz(226KB), GSE186078_ZRS06_ZRS07_features.tsv.gz(252KB), GSE186078_ZRS06_ZRS07_matrix.mtx.gz(323MB), GSE186078_ZRS08_barcodes.tsv.gz(218KB), GSE186078_ZRS08_features.tsv.gz(254KB), GSE186078_ZRS08_matrix.mtx.gz(258MB)|cancer,immunology,neuroscience,development,signal_transduction|Single-cell multiomic analysis of thymocyte development reveals drivers of CD4+ T cell and CD8+ T cell lineage commitment|cells thymus critical adaptive immunity widely studied model Recognition self-MHCI MHCII antigen receptor TCR determines choice distinct signals transcriptional programs largely unknown applied|multiomics
GSE192966|cite_seq|Homo sapiens|3|GSE192966_RAW.tar(103MB)|cancer,immunology,development,hematopoiesis|Single-cell multiomics of human fetal hematopoiesis defines a  developmental specific population and a fetal signature|Knowledge blood differs adult highly relevant understanding congenital immune disorders childhood leukemia latter originate utero formation occurs waves overlap time space adding heterogeneity|multiomics
GSE222346|multiome|Mus musculus|6|GSE222346_RAW.tar(4.0GB)|cancer,immunology,development,epigenetics,infectious_disease|Loss of PBAF Promotes Effector Differentiation and Limits CD8+ T Cell Exhaustion in Chronic Viral Infection and Cancer [multiomics]|gain insights complex regulates dynamic chromatin structure changes LCMV-specific cells examine PBAF-deficiency alters transcriptional epigenetic heterogeneity single RNA ATAC sequencing Arid2|multiomics
GSE213711|multiome|Homo sapiens|8|GSE213711_hADSCs.tar.gz(1.6GB), GSE213711_StageI-Day9.tar.gz(1.7GB), GSE213711_StageII-Day16.tar.gz(1.8GB), GSE213711_StageII-Day8.tar.gz(1.5GB)|development,epigenetics,fibrosis_wound|Epigenetic remodeling for regeneration progam activation in human cells [scRNA+ATAC]|occurs naturally certain lower vertebrates highly restricted humans stable epigenome Recently demostrated small moleucles reprogram somtic pluripotent stem relying regeneration-like program|multiomics
GSE234228|other_multiomics|Homo sapiens; Oryza sativa Indica Group|14|[GEO:BEDPE]|development,epigenetics,rna_biology|Simultaneous Profiling of Chromatin-Associated RNA at Targeted DNA Loci and RNA-RNA Interactions through TaDRIM-Seq|enormous variety different RNAs transcribed eukaryotic genome particular long non-coding lncRNAs enrich via retain transcription site Cis-acting recruited genomic regions Trans-acting play regulating|multiomics
GSE227636|cite_seq|Homo sapiens|14|GSE227636_RAW.tar(1.1GB)|immunology,crispr_gene_editing|scRNA-seq and CITE-seq of T-BET/EOMES CRISPR deleted human NK cells|Peripheral blood CRISPR-edited knock-out expression prepared scRNA-sequencing 10X Genomics following samples analyzed elucidate regulating mature transcriptional profiles|multiomics
GSE163843|cite_seq|Mus musculus|96|GSE163843_groups.ThPOK-WT_MultiPath-PSI.txt.gz(2KB), GSE163843_Mm-ThPOK-RSEM-TPM-log2.txt.gz(2MB), GSE163843_ThPOK-WT_MultiPath-PSI.txt.gz(20MB)|cancer,immunology,development,hematopoiesis,crispr_gene_editing,gene_regulation|ThPOK is a critical and multifaceted regulator of myeloid lineage development [Fluidigm]|transcription factor encoded Zbtb7b master CD4 commitment thymus report novel differentiation maturation reporter knockout mouse models combined CITE-Seq Smart-Seq2 progenitor transfer clonogenic|multiomics
GSE163837|cite_seq|Mus musculus|7|GSE163837_cKit-reference-centroids.txt.gz(40KB), GSE163837_RAW.tar(463MB), GSE163837_scRNA-Seq.SoupX.metadata.txt.gz(138KB), GSE163837_Tags-mouseADT.csv.gz(956B)|cancer,immunology,development,hematopoiesis,crispr_gene_editing,gene_regulation|ThPOK is a critical and multifaceted regulator of myeloid lineage development [CITE-Seq]|transcription factor encoded Zbtb7b master CD4 commitment thymus report novel differentiation maturation reporter knockout mouse models combined Smart-Seq2 progenitor transfer clonogenic assays|multiomics
GSE218981|cite_seq|Mus musculus|3|GSE218981_barcode_ADT_HTO.csv.gz(2KB), GSE218981_barcodes.tsv.gz(91KB), GSE218981_features.tsv.gz(483KB), GSE218981_matrix.mtx.gz(164MB)|development,hematopoiesis,cell_stress,gene_regulation|APEX1 nuclease and redox functions are both essential for adult mouse hematopoietic stem and progenitor cells.|Self-renewal differentiation HSPCs carefully controlled extrinsic intrinsic factors ensure lifelong process hematopoiesis Apurinic/apyrimidinic endonuclease multifunctional protein implicated DNA|multiomics
GSE223833|cite_seq|Mus musculus|12|GSE223833_RAW.tar(172MB)|cancer,immunology,development,metabolism|Recruitment of stem-like T cells and resistance to exhaustion support CD4 T cell responses in autoimmunity (scCITE-Seq).|Recent findings undifferentiated antigen specific serve important long-term reservoir autoimmune CD8 still exhibit similar differentiation trajectory culminating terminal acquisition exhausted|multiomics
GSE214114|cite_seq|Mus musculus|4|GSE214114_RAW.tar(43MB)|immunology,development,infectious_disease,signal_transduction|Enhanced STAT5a activation opposes Tox and rewires exhausted CD8 T cells towards a hybrid durable effector-like state during chronic stimulation [CITE-seq_PostInfection]|discovered reciprocal antagonism TEX antagonized Tox-mediated exhaustion program achieve protective effector/NK-like differentiation settings typically drive drove progenitors differentiate TEXint|multiomics
GSE233067|cite_seq|Mus musculus|9|GSE233067_RAW.tar(476MB)|cancer,immunology,development|Tumor-specific CD4 T cells instruct monocyte differentiation in pancreatic ductal adenocarcinoma [CITE-seq]|elucidate T-cells impact differentaion|multiomics
GSE215418|cite_seq|Mus musculus|8|GSE215418_ADT_counts.tsv.gz(255KB), GSE215418_ADT_sequences.txt.gz(351B), GSE215418_cDNA_counts.tsv.gz(37MB)|immunology,development|Combined multidimensional single-cell protein and RNA profiling dissects the cellular and functional heterogeneity of thymic epithelial cells|network stromal essential niches unique molecular cues controlling T-cell development selection Recent RNA-sequencing uncovered large transcriptional among TEC demonstrating previously unappreciated|multiomics
GSE194028|other_multiomics|Homo sapiens|56|GSE194028_RAW.tar(92.7GB)|cancer,epigenetics|Systematic benchmarking of single-cell ATAC sequencing protocols|systematically benchmarked technologies capacity generate high-quality open chromatin profiles elucidate regulatory landscape complex samples contains individual human PBMC scATAC-seq experiments|multiomics
GSE220190|other_multiomics|Homo sapiens|97|no_suppl||Mapping disease-associated regulatory circuits by cell type from single-cell multiomics data|SuperSeries composed SubSeries listed|multiomics
GSE209525|cite_seq|Mus musculus|12|GSE209525_Pool_1_Male_reg_barcodes.tsv.gz(18KB), GSE209525_Pool_1_Male_reg_features.tsv.gz(284KB), GSE209525_Pool_1_Male_reg_matrix.mtx.gz(17MB), GSE209525_Pool_2_Female_reg_barcodes.tsv.gz(9KB), GSE209525_Pool_2_Female_reg_features.tsv.gz(284KB), GSE209525_Pool_2_Female_reg_matrix.mtx.gz(11MB), GSE209525_Pool_3_Male_HFD_barcodes.tsv.gz(21KB), GSE209525_Pool_3_Male_HFD_features.tsv.gz(284KB), GSE209525_Pool_3_Male_HFD_matrix.mtx.gz(26MB), GSE209525_Pool_4_Female_HFD_barcodes.tsv.gz(8KB), GSE209525_Pool_4_Female_HFD_features.tsv.gz(284KB), GSE209525_Pool_4_Female_HFD_matrix.mtx.gz(11MB), GSE209525_Pool_5_Male_HFD_VG_barcodes.tsv.gz(15KB), GSE209525_Pool_5_Male_HFD_VG_features.tsv.gz(284KB), GSE209525_Pool_5_Male_HFD_VG_matrix.mtx.gz(20MB), GSE209525_Pool_6_Female_HFD_VG_barcodes.tsv.gz(19KB), GSE209525_Pool_6_Female_HFD_VG_features.tsv.gz(284KB), GSE209525_Pool_6_Female_HFD_VG_matrix.mtx.gz(29MB)|cardiovascular,cell_stress|Senohemostatic role for DPP4 in atherosclerosis|scRNA sequencing understand composition differential gene expression changes aortic cells LDLR mice fed normal diet high-fat HFD DPP4i combined technique CITE-sequencing measure cell surface protein|multiomics
GSE226128|cite_seq|Mus musculus|6|GSE226128_NonTuftVsTuft_unadj.counts.txt.gz(518KB)|immunology,development|Combined multidimensional single-cell protein and RNA profiling dissects the cellular and functional heterogeneity of thymic epithelial cells - tuft and non-tuft cells|network stromal essential niches unique molecular cues controlling T-cell development selection Recent RNA-sequencing uncovered large transcriptional among TEC demonstrating previously unappreciated|multiomics
GSE220112|other_multiomics|Homo sapiens|4|GSE220112_RS411_DMSO10h_atac_peak_annotation.tsv.gz(3MB), GSE220112_RS411_DMSO10h_atac_peaks.bed.gz(2MB), GSE220112_RS411_DMSO10h_filtered_feature_bc_matrix.h5(209MB), GSE220112_RS411_DMSO10h_raw_feature_bc_matrix.h5(264MB), GSE220112_RS411_Wee1i10h_atac_peak_annotation.tsv.gz(2MB), GSE220112_RS411_Wee1i10h_atac_peaks.bed.gz(1MB), GSE220112_RS411_Wee1i10h_filtered_feature_bc_matrix.h5(212MB), GSE220112_RS411_Wee1i10h_raw_feature_bc_matrix.h5(268MB)|cancer,epigenetics,signal_transduction|Mechanistic study of Wee1 kinase inhibition with AZD1775 exposes drug targetable vulnerabilities in acute B-lymphoblastic leukemia [scMultiome]|characterized effect treatment single-cell accessible chromatin gene expression profile 10x Genomics protocol ATAC Assay cell line RS4 represents KMT2A-rearranged subtype|multiomics
GSE228530|other_multiomics|Mus musculus|8|GSE228530_metadata.csv.gz(909KB), GSE228530_processed_data_file_descriptions.txt.gz(571B), GSE228530_RAW.tar(220MB), GSE228530_tmp.repl1_atac.all.v2.all_peaks.npz(1.1GB), GSE228530_tmp.repl1_atac.all.v2_peaks.all.ygi.txt.gz(2MB), GSE228530_tmp.repl1_atac.all.v2.xgi.txt.gz(331KB)|neuroscience,epigenetics|Single-cell co-profiling of gene expression and chromatin accessibility in the mice striatum with varied genetic backgrounds|investigate influence sex addiction conducted crucial brain structure linked various substance abuse disorders level utilized multi-omics technology analyze individual cells|multiomics
GSE169519|other_multiomics|Mus musculus|18|GSE169519_MEF_48h_BMIkzf14vsBM.txt.gz(957KB), GSE169519_RAW.tar(2.2GB)|immunology,neuroscience,development,microbiology,eye_vision|Direct neuronal reprogramming by temporal identity factors|sufficient developmental competence neural progenitors shift cell fate output terminally differentiated cells unknown address question designed conditional gene expression system allows rapid|multiomics
GSE230313|other_multiomics|Homo sapiens|13|GSE230313_RAW.tar(87.9GB)|immunology,epigenetics,infectious_disease,gene_regulation|HiC and H3K27ac HiChIP of clonal Jurkat T cells infected HIV-1 model NL4-3-D6-drEGFP|integration introduces ectopic transcription factor binding sites host chromatin postulate integrated provirus serves enhancer recruits additional transcriptional factors locus increases|multiomics
