# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE157660|single-nucleus|Homo sapiens; Mus musculus|12|GSE157660_human.snare2-atac.matrix.tar.gz(86MB), GSE157660_human.snare2-rna.matrix.tar.gz(121MB), GSE157660_mouse.snare2-atac.matrix.tar.gz(8MB), GSE157660_mouse.snare2-rna.matrix.tar.gz(15MB)|development,epigenetics|Scalable Dual-omic Profiling with Single-nucleus Chromatin Accessibility and mRNA Expression Sequencing 2 (SNARE-seq2)|perform benchmark experiments cell lines develop assess performance method generating matched profiles|multiomics
GSE157277|single-nucleus|Homo sapiens|6|GSE157277_RAW.tar(63MB)|cancer,immunology,neuroscience,development,cell_stress|Transcriptomic and clonal characterization of T cells in the human central nervous system|Tissues develop unique homeostatic immune states specific recruitment further shaped tissue environment use single-cell RNA TCR sequencing healthy cerebrospinal fluid CSF single-nucleus brain|
GSE148339|single-nucleus|Mus musculus|4|GSE148339_liver.integrated.final.RData.gz(2.7GB), GSE148339_liver.integrated.RNA.scale.data.txt.gz(317MB), GSE148339_RAW.tar(119MB)|metabolism,cell_stress,liver|Application of singe nuclei RNA sequencing to assess the hepatic effects of   2,3,7,8-tetrachlorodibenzo-p-dioxin|Cell-specific transcriptional responses lost averages bulk single snSeq frozen liver samples male C57BL/6 mice response TCDD Approximately 907 genes detected across 015 sequenced control treated|
GSE149527|single-nucleus|Mus musculus|2|GSE149527_count_matrix_all.csv.gz(22MB), GSE149527_normalized_data_all.csv.gz(200MB), GSE149527_RAW.tar(195MB)|neuroscience,development,drug_response|Single-nucleus characterization of spinal dynorphin-lineage cells and identification of persistent transcriptional effects of neonatal hindpaw incision|tissue damage long-lasting nociceptive processing central nervous system partially due injury-evoked alteration normal balance synaptic inhibition excitation dorsal horn pDyn neurons part inhibitory|
GSE143526|single-nucleus|Mus musculus|2|GSE143526_liver.combined.sub_01102020.rds.gz(383MB)|immunology,metabolism,liver|The Hepatocyte Clock and Feeding Interdependently Control Chrono-Homeostasis of Multiple Liver Cell Types (single nuclei RNA-seq)|Most cells body contain autonomous molecular requirement peripheral clocks circadian rhythmicity effects physiology understood deletion core components REV-ERBa adult mouse hepatocytes caused loss|
GSE152058|single-nucleus|Homo sapiens; Mus musculus|333|GSE152058_barcodes.tsv.gz(18MB), GSE152058_counts_allelic_series_6mo.tsv.gz(5MB), GSE152058_counts.STAR.MOUSE_3mo_D2.txt.gz(1MB), GSE152058_counts.STAR.MOUSE_R62_D1_D2.txt.gz(789KB), GSE152058_features_GRCh38.tsv.gz(264KB), GSE152058_features_mm10.tsv.gz(245KB), GSE152058_human_snRNA_processed_coldata.tsv.gz(793KB), GSE152058_human_snRNA_processed_counts.mtx.gz(848MB), GSE152058_human_snRNA_processed_rowdata.tsv.gz(264KB), GSE152058_R62_snRNA_processed_coldata.tsv.gz(646KB), GSE152058_R62_snRNA_processed_counts.mtx.gz(462MB), GSE152058_R62_snRNA_processed_rowdata.tsv.gz(245KB), GSE152058_RAW.tar(6.0GB), GSE152058_RPKM_R62_TRAP_CStrPN.tsv.gz(2MB), GSE152058_zQ175_snRNA_processed_coldata.tsv.gz(365KB), GSE152058_zQ175_snRNA_processed_counts.mtx.gz(261MB), GSE152058_zQ175_snRNA_processed_rowdata.tsv.gz(245KB)|immunology,neuroscience,metabolism,cell_stress,signal_transduction|Cell Type-Specific Transcriptomics Reveals that Mutant Huntingtin Leads to Mitochondrial RNA Release and Neuronal Innate Immune Activation|death Huntington disease fully understood gain new molecular insights snRNA-Seq TRAP conduct analyses striatal gene expression changes human mouse models spiny projection neurons observe concomitant|
GSE154181|single-nucleus|Mus musculus|7|GSE154181_nuclei.meta.csv.gz(97KB), GSE154181_RAW.tar(42MB), GSE154181_smooth.norm.txt.gz(178MB)|neuroscience,crispr_gene_editing|Single-nucleus RNA-seq reveals dysregulation of striatal cell identity due to Huntington’s disease mutations|dominantly inherited neurodegenerative disorder caused trinucleotide expansion exon huntingtin Htt gene death occurs primarily medium spiny neurons MSNs involvement specific MSN subtypes other types|
GSE161621|single-nucleus|Mus musculus|6|GSE161621_RAW.tar(1010MB)|neuroscience|Single-cell transcriptomic analysis of the adult mouse spinal cord reveals fundamental molecular diversity of autonomic and skeletal motor neurons|characterize cholinergic single-nucleus RNA sequencing cholinergic-enriched pools nuclei|
GSE161685|single-nucleus|Homo sapiens|8|GSE161685_RAW.tar(2.2GB), GSE161685_snATAC-seq_fragments.bed.gz(1.6GB), GSE161685_snATAC-seq_fragments.bed.gz.tbi.gz(946KB), GSE161685_snATAC-seq.rds.gz(7.6GB), GSE161685_snRNA_seq.rds.gz(1.0GB)|development,epigenetics,fibrosis_wound,lung_respiratory,cell_stress,gene_regulation|The IPF-associated variant in MUC5B, rs35705950, resides within an enhancer that is subject to lineage- and disease-dependent epigenetic remodeling|polymorphisms account over risk sporadic pulmonary fibrosis unknown minor strongest driver mediates molecular changes influence development parent publication use chromatin immunoprecipitation|
GSE160938|single-nucleus|Mus musculus|2|GSE160938_RAW.tar(130MB)|neuroscience,signal_transduction|Area postrema cell types that mediate nausea-associated behaviors|unpleasant sensation visceral malaise mysterious process implicated responses contains poorly understood brain-resident sensory neurons anatomically privileged detect bloodborne signals investigate|
GSE162654|single-nucleus|Mus musculus|3|GSE162654_meta.data.csv.gz(923KB), GSE162654_RAW.tar(370MB)|neuroscience,infectious_disease|Molecular diversity of olfactory bulb projection neurons [single-cell RNA-seq]|characterize viral targeting Fluorescence Activated Nuclei Sorting FANS enrich single-nuclei sequencing sn-RNA comprehensively transcriptomes isolate GFP-labelled individual replicates AON|
GSE157760|single-nucleus|Homo sapiens|6|GSE157760_RAW.tar(622MB)|neuroscience|Single Nucleus Sequencing Reveals Artifactual Gene Expression and Variance in Post-Mortem Brain|fresh frozen|
GSE161383|single-nucleus|Homo sapiens|20|GSE161383_RAW.tar(1.5GB)|infectious_disease|Single Nucleus Multiomic Profiling Reveals Age-Dynamic Regulation of Host Genes Associated with SARS-CoV-2 Infection|SuperSeries composed SubSeries listed raw sequencing available dbGaP controlled access due patient privacy concerns https www ncbi nlm nih gov/projects/gap/cgi-bin/study cgi study_id phs001961|
GSE161382|single-nucleus|Homo sapiens|9|GSE161382_barcodes.tsv.gz(369KB), GSE161382_counts.mtx.gz(216MB), GSE161382_data.mtx.gz(254MB), GSE161382_features.tsv.gz(167KB), GSE161382_metadata.txt.gz(643KB), GSE161382_UMAP_coord.tsv.gz(1MB)|epigenetics,infectious_disease,lung_respiratory|Single Nucleus RNA-Seq Multiomic Profiling Reveals Age-Dynamic Regulation of Host Genes Associated with SARS-CoV-2 Infection [scRNA-Seq]|Respiratory failure leading cause COVID-19 death disproportionately impacts adults more children present large-scale snATAC-seq dataset 980 nuclei human lung generated parallel snRNA-seq 500 healthy|
GSE161936|single-nucleus|Mus musculus|4289|GSE161936_Lui_Nguyen_Seuratobjects.RData.gz(596MB)|neuroscience,plant_biology,cell_stress,rna_biology|Single cell RNAseq of Rbp4cre+ neurons from prefrontal cortex|Differential encoding projection classes across cognitive tasks perform nucleus RNAsequencing smartseq2 protocol mouse labeled tdTomato Rbp4-cre Ai14 cells retrolabeled various brain regions|
GSE145765|single-nucleus|Macaca mulatta|12|GSE145765_RDS.RawData.txt.gz(62MB)|neuroscience|Single-cell RNA-sequencing analysis for the molecular taxonomy of primate amygdala|isolated rhesus macaques scRNA-Seq libraries generated 10X Genomics Chromium Controller Instrument Reagent Kits Pleasanton USA Briefly cells nuclei concentrated 1000 nuclei/μL approximately 15000|
GSE161153|single-nucleus|Homo sapiens|3|GSE161153_RAW.tar(93MB)|cardiovascular|Single nuclei RNA-sequencing of adult human hearts|report two frozen left ventricular biopsies patient dilated cardiomyopathy providing perspective cell types failing|
GSE156498|single-nucleus|Mus musculus|8|GSE156498_RAW.tar(220MB)|fibrosis_wound,skeletal_muscle,signal_transduction|Degenerative and Regenerative Pathways Underlying Duchenne Muscular Dystrophy Revealed by Single-nucleus RNA sequencing|SuperSeries composed SubSeries listed|
GSE156497|single-nucleus|Mus musculus|2|GSE156497_RAW.tar(220MB)|fibrosis_wound,skeletal_muscle,crispr_gene_editing|Single nucleus RNA-seq analysis of the TA muscles from WT and Dmd Exon 51 Knockout mice|Duchenne muscular dystrophy fatal disorder characterized cycles degeneration regeneration multinucleated myofibers pathological activation variety other cell types describe creation new mouse model|
GSE156496|single-nucleus|Mus musculus|6|GSE156496_RNAseq_D51vsWT.edgeR.txt.gz(421KB), GSE156496_RNAseq_RawCountTable.txt.gz(763KB), GSE156496_RNAseq_RPKM.txt.gz(538KB)|fibrosis_wound,skeletal_muscle,crispr_gene_editing|Transcriptome analysis of the TA muscles from WT and Dmd Exon 51 Knockout mice|Duchenne muscular dystrophy fatal disorder characterized cycles degeneration regeneration multinucleated myofibers pathological activation variety other cell types describe creation new mouse model|
GSE150284|single-nucleus|Mus musculus|8|GSE150284_Converted_counttable.txt.gz(209MB), GSE150284_Native_counttable.txt.gz(218MB)|immunology,kidney|CoolMPS for robust sequencing of single-nuclear RNAs captured by droplet-based method|Massively-parallel single-cell single-nucleus scRNA-seq snRNA-seq requires extensive achieve proper per-cell coverage making resources availability sequencers critical factors conducting deep|
GSE152248|single-nucleus|Mus musculus|4|GSE152248_AllStages_AllNuclei_clusters.txt.gz(151KB), GSE152248_AllStages_AllNuclei_datamatrix.txt.gz(352MB), GSE152248_AllStages_TrophoblastNuclei_clusters.txt.gz(103KB), GSE152248_AllStages_TrophoblastNuclei_datamatrix.txt.gz(226MB)|development,reproduction,plant_biology|Single nuclei RNA-seq of mouse placental labyrinth development|RNA-sequencing four developmental stages E10 E12 E14 Supplementary files include expression matrices integrated datasets containing clustering annotations either AllStages_AllNuclei subclustered|
GSE160471|single-nucleus|Homo sapiens; Gallus gallus; Mus musculus|3|GSE160471_RAW.tar(1.6GB)|neuroscience|Single nucleus RNAseq of cerebellar nucleus neurons in three species|perform RNAsequencing smartseq2 protocol mouse chicken human cerbellar nuclei released FACS sorted NeuN|
GSE152551|single-nucleus|Mus musculus|2|GSE152551_RAW.tar(89MB)|immunology,cardiovascular,plant_biology,cell_cycle|Characterization of Rare Spindle and Root Cell Transcriptional Profiles in the Stria Vascularis of the Adult Mouse Cochlea|snRNA-Seq sample preservation distinguishes|
GSE153672|single-nucleus|Mus musculus|1|GSE153672_RAW.tar(10MB)|neuroscience,eye_vision|An optimized protocol for retina single-cell RNA sequencing [snRNA-Seq]|work different protocols prepare suspensions scRNAseq dissociation mouse preserves morphology higher level leading overall increase gene number per libraries generated publicly available further|
GSE159812|single-nucleus|Homo sapiens|30|GSE159812_RAW.tar(944MB)|neuroscience,infectious_disease,lung_respiratory,cell_stress,eye_vision|Dysregulation of brain and choroid plexus cell types in severe COVID-19|Though SARS-CoV-2 primarily targets respiratory system patients survivors suffer neurological symptoms unbiased understanding cellular molecular processes affected brains still missing profile 309|
GSE153192|single-nucleus|Mus musculus|17|GSE153192_RAW.tar(1.3GB)|neuroscience,gut_intestine|Combinatorial transcriptional profiling of mouse and human enteric neurons identifies shared and disparate subtypes in situ [Mouse sn-RNA-Seq]|Single-nucleus adult mice derived major regions intestine|
GSE147127|single-nucleus|Mus musculus|6|GSE147127_RAW.tar(644MB)|skeletal_muscle,reproduction|Single-nucleus RNA-seq identifies transcriptional heterogeneity in multinucleated skeletal myofibers|While majority cells contain cell types trophoblasts osteoclasts require multinucleation One advantage assignment distinct different nuclei comprehensive interrogation within tissues challenging due|
GSE152999|single-nucleus|Homo sapiens|11|GSE152999_RAW.tar(1.1GB)|development,gut_intestine|Induced organoids derived from patients with ulcerative colitis recapitulate the colitic reactivity|report application single nucleus RNA-seq technology transcriptomic-wide profiling iHUCO normal healthy colon iHNO along parental fibroblasts comapring profiles iHUCOs FBs iHNOs unique signatures|
GSE158840|single-nucleus|Mus musculus|10|GSE158840_RAW.tar(152MB)|neuroscience,drug_response,gene_regulation|Bidirectional perisomatic inhibitory plasticity of a Fos neuronal network [snRNA-seq]|Behavioral experiences activate transcription factor sparse populations neurons critical encoding recalling specific events limited understanding experience drives circuit reorganization establish|
GSE149201|single-nucleus|Homo sapiens|8|GSE149201_GCT_single_cell_raw_counts_mat.txt.gz(55MB), GSE149201_RAW.tar(838MB)|cancer,immunology,development,skeletal_muscle,crispr_gene_editing|H3.3G34W promotes growth and impedes differentiation of osteoblast-like mesenchymal progenitors in giant cell tumour of bone [scRNA-Seq and snRNA-Seq]|Glycine tryptophan substitutions arise GCT necessary formation Profiling epigenome transcriptome secreted proteome patient samples tumour-derived cells CRISPR/Cas9-edited shows 3K36me3 loss mutant|
GSE168156|single-nucleus|Rattus norvegicus|4|GSE168156_RAW.tar(149MB)|immunology,neuroscience|Adult rat ventral tegmental area single-nucleus RNA-seq dataset for "An atlas of transcriptionally defined cell populations in the rat ventral tegmental area"|contains sequencing brain tegmenal VTA goal experiment landscapes distinct types Single-cell carried nuclei suspensions sorted flow cytometry 10X Genomics Chromium platform|
GSE169284|single-nucleus|Arabidopsis thaliana|8|GSE169284_RAW.tar(5MB)|development,reproduction,plant_biology,cell_cycle|Gene Expression Variation in Arabidopsis Embryos at Single-Nucleus Resolution|Soon fertilization egg sperm plant genomes become transcriptionally activated drive series coordinated cell divisions form basic body plan embryogenesis Early embryonic cells rapidly diversify other|
GSE169510|single-nucleus|Mus musculus|4|GSE169510_snRNAseq.SCE.final.rds.gz(51MB)|neuroscience,cell_stress,signal_transduction|Molecular roadmap of the healthy stress response in the mouse hippocampus (single-nucleus)|acute mobilizes energy meet situational demands re-establish homeostasis brief forced swim exposure trigger strong mice multiomic profiling characterize stress-induced events dorsal dHC ventral vHC|
GSE156703|single-nucleus|Homo sapiens|9|GSE156703_RAW.tar(534MB)|development,cardiovascular,signal_transduction|Sex-specific control of human heart maturation by the progesterone receptor [snRNAseq_human]|physiological adaptation postnatal environment most critical developmental transitions life mammals Despite depth knowledge molecular controlling embryonic development little signals govern humans|
GSE168599|single-nucleus|Rattus norvegicus|6|GSE168599_new_metadata.xlsx(71KB), GSE168599_RAW.tar(312MB)|neuroscience|Sex and cell-specific gene expression in corticolimbic brain regions associated with psychiatric disorders revealed by bulk and single-nuclei RNA sequencing|Background sex-specific differences prevalence symptomology course preclinical models primarily males molecular established Methods transcriptome-wide profiles male female rats within system|
GSE165047|single-nucleus|Chlorocebus sabaeus; Canis lupus familiaris; Homo sapiens; Cricetulus griseus; Mus musculus; Drosophila melanogaster; Rattus norvegicus|2|GSE165047_filtered_feature_bc_matrix.h5(28MB)||CASB: A concanavalin A-based sample barcoding strategy for single-cell sequencing [scRNA-seq]|reported single-nucleus multiplexing followed different techniques method involves minimal processing thereby preserving intact transcriptomic epigenomic patterns Besides further improve quality|
GSE153113|single-nucleus|Homo sapiens; Mus musculus|1|GSE153113_RAW.tar(77MB)||CASB: A concanavalin A-based sample barcoding strategy for single-cell sequencing [mixed Sample of cell lines and organisms]|reported single-nucleus multiplexing followed different techniques method involves minimal processing thereby preserving intact transcriptomic epigenomic patterns Besides further improve quality|
GSE153108|single-nucleus|Homo sapiens|1|GSE153108_RAW.tar(18MB)||CASB: A concanavalin A-based sample barcoding strategy for single-cell sequencing [HAP1]|reported single-nucleus multiplexing followed different techniques method involves minimal processing thereby preserving intact transcriptomic epigenomic patterns Besides further improve quality|
GSE150121|single-nucleus|Homo sapiens|6|GSE150121_Ctrl_NueNngeVSNueNpos_GeneCounts.csv.gz(305KB)|neuroscience|Human cortical nuclei RNAseq|RNA-seq NeuN-negative NeuN-positive healthy controls|
GSE167597|single-nucleus|Mus musculus|9|GSE167597_all_AlkaslasiPiccus_annotations.csv.gz(326KB), GSE167597_allMN_countsmatrix.csv.gz(43MB), GSE167597_RAW.tar(781MB)|neuroscience,development|Single nucleus RNA-sequencing defines unexpected diversity of cholinergic neuron types in the adult mouse spinal cord|developed targeted approach enrich transcriptomically characterize neurons expose markers classes extremely rich Visceral/preganglionic motor divided more dozen transcriptomic anatomically restricted|
GSE151962|single-nucleus|Mus musculus|25|GSE151962_RAW.tar(17.2GB)||Single nucleus multi-omics regulatory atlas of the murine pituitary|SuperSeries composed SubSeries listed|
GSE151961|single-nucleus|Mus musculus|9|GSE151961_RAW.tar(186MB)|epigenetics,reproduction|Single nucleus multi-omics regulatory atlas of the murine pituitary [snRNA-seq ]|regulates growth reproduction other endocrine systems investigate transcriptional network epigenetic gland generated paired transcriptome chromatin accessibility profiles mouse pituitaries|
GSE151958|single-nucleus|Mus musculus|7|GSE151958_RAW.tar(101MB)|epigenetics,reproduction|Single nucleus multi-omics regulatory atlas of the murine pituitary [scRNA-Seq]|regulates growth reproduction other endocrine systems investigate transcriptional network epigenetic gland generated paired transcriptome chromatin accessibility profiles mouse pituitaries|
GSE166686|single-nucleus|Salmo salar|8|GSE166686_RAW.tar(31MB)|development|single nuclei RNAseq data from Atlantic salmon (Salmo salar) gill|snRNAseq characterise cellular complexity development|
GSE151302|single-nucleus|Homo sapiens|10|GSE151302_RAW.tar(8.1GB)|epigenetics,kidney|Single Cell Transcriptional and Chromatin Accessibility Profiling on the human adult kidneys|nucleus ATAC snATAC-seq RNA snRNA-seq sequencing generate paired cell-type-specific profiles samples Healthy1/2/3 already done deposited GSE131882 control1/2/3 GSM3823939/GSM3823940/3823941|
GSE148822|single-nucleus|Homo sapiens|95|GSE148822_counts_neun.csv.gz(959KB), GSE148822_counts_olig.csv.gz(749KB), GSE148822_RAW.tar(4.4GB)|immunology,neuroscience,microbiology,signal_transduction|Distinct amyloid-b and tau associated microglia profiles in Alzheimer's disease|most prevalent form dementia characterized abnormal extracellular aggregates intraneuronal hyperphosphorylated tangles neuropil threads tissue-resident macrophages central nervous system CNS|
GSE166648|single-nucleus|Mus musculus|35|GSE166648_snATAC_metadata.csv.gz(411KB), GSE166648_snATAC_normdata.csv.gz(1.2GB), GSE166648_snATAC_unnormdata.csv.gz(186MB), GSE166648_snRNA_metadata.csv.gz(2MB), GSE166648_snRNA_normdata.csv.gz(685MB), GSE166648_snRNA_unnormdata.csv.gz(97MB)|neuroscience,metabolism,epigenetics|A genetic map of the murine dorsal vagal complex and its role in obesity [single-cell RNA-seq and ATAC-seq]|brainstem DVC regulate energy balance target appetite suppressing hormones glucagon-like peptide-1 GLP-1 comprehensive identify neuronal populations control feeding Combining bulk single-nucleus|
GSE166647|single-nucleus|Mus musculus|334|GSE166647_bulkRNA_metadata.csv.gz(3KB), GSE166647_bulkRNA_normdata.csv.gz(40MB), GSE166647_bulkRNA_unnormdata.csv.gz(9MB)|neuroscience,metabolism,epigenetics|A genetic map of the murine dorsal vagal complex and its role in obesity [bulk RNA-seq]|brainstem DVC regulate energy balance target appetite suppressing hormones glucagon-like peptide-1 GLP-1 comprehensive identify neuronal populations control feeding Combining single-nucleus|
GSE153665|single-nucleus|Taeniopygia guttata|4|GSE153665_RAW.tar(84MB)|neuroscience|Single-nuclei RNA sequencing of HVC and RA in zebra finches|evolution six-layered neocortex often credited increased capacity complex behaviors cognition humans other mammals birds despite lacking laminated display non-instinctual vocal learning tool use|
GSE165554|single-nucleus|Mus musculus|1|GSE165554_RAW.tar(2.3GB), GSE165554_readme.xlsx(12KB)|development,cardiovascular,infectious_disease|Single cell analysis of the ventricular-subventricular zone reveals signatures of dorsal and ventral adult neurogenic lineages. [single whole-cell]|Purpose While great progress made understanding differences regional stem potential viral genetic tracing strategies core molecular heterogeneity underlies largely unknown Methods present sequencing|
GSE165551|single-nucleus|Mus musculus|4|GSE165551_RAW.tar(312MB), GSE165551_sNucSeq.rds.gz(3.6GB)|development,cardiovascular,infectious_disease|Single cell analysis of the ventricular-subventricular zone reveals signatures of dorsal and ventral adult neurogenic lineages. [single nucleus sequencing]|Purpose While great progress made understanding differences regional stem potential viral genetic tracing strategies core molecular heterogeneity underlies largely unknown Methods present dataset|
GSE158724|single-nucleus|Homo sapiens|95|GSE158724_10x.cell_types.txt.gz(584KB), GSE158724_10x.counts.txt.gz(258MB), GSE158724_icell8.cell_types.txt.gz(3KB), GSE158724_icell8.counts.txt.gz(5MB)|cancer,drug_response,cell_cycle,signal_transduction|Convergent evolution of resistance pathways during early stage breast cancer treatment with combination cell cycle (CDK) and endocrine signalling inhibitors|Samples taken patients treated neoadjuvant therapy letrozole without CDK4/6 ribociclib beginning days starting 180 Nuclei isolated single-nucleus RNA sequencing snRNA-seq 10X iCell8 technologies|
GSE166261|single-nucleus|Mus musculus|6|GSE166261_RAW.tar(98MB)|neuroscience,drug_response|Overexpressing low-density lipoprotein receptor reduces tau-associated neurodegeneration via apoE-dependent and independent mechanisms|strongest genetic risk factor late-onset Alzheimer disease exacerbates driving microglial activation regulates targeting therapeutically beneficial tauopathy LDLR transgene P301S transgenic mice|
GSE164273|single-nucleus|Mus musculus|6|GSE164273_RAW.tar(105MB)|kidney|Single nucleus RNA sequencing of kidney from five-month-old Pdss2 kd/kd mice compared to age-matched controls|report trancriptional changes wildtype C57BL/6J harboring spontaneous missense mutation V117M|
GSE165824|single-nucleus|Homo sapiens|6|GSE165824_ascending_descending_human_aorta_v1.h5ad.gz(223MB)|cardiovascular|Deep learning enables genetic analysis of the human thoracic aorta|Enlargement aneurysm predisposes dissection important cause sudden death trained model evaluate dimensions ascending descending million cardiac magnetic resonance images Biobank conducted genome-wide|
GSE163323|single-nucleus|Homo sapiens|51|GSE163323_RAW.tar(21.5GB), GSE163323_sgRNA_targeting_regions.txt.gz(222B)|neuroscience,signal_transduction|Association of common genetic variation with Parkinson’s disease is driven by microglial modulation of Leucine-rich repeat kinase 2 expression|Previous non-coding region LRRK2 contributes risk influences allele increased interrogate biological basis quantitative trait locus eQTL single nuclei RNA sequencing human frontal cortex donors|
GSE132447|single-nucleus|Homo sapiens|42|GSE132447_gene_exp.diff.gz(12MB), GSE132447_isoform_exp.diff.gz(27MB), GSE132447_miRNA_exp.diff.gz(380KB), GSE132447_miRNA.gff3.gz(60KB), GSE132447_miRNA_isoform_exp.diff.gz(380KB), GSE132447_mRNA.gtf.gz(18MB)|neuroscience,development,rna_biology,gene_regulation|Origin of a novel CYP20A1 lncRNA through 23 Alu exaptations in the human lineage creates a potential multi-miRNA sponge|repeats contribute specific novelties conserved transcriptional regulatory networks report first time forms principal isoform gene 9kb UTR confirmed RACE outlier terms length expression multiple cell|
GSE160474|single-nucleus|Homo sapiens|15|GSE160474_RAW.tar(11.3GB)|immunology,development,metabolism,epigenetics,gene_regulation|Single-cell chromatin accessibility identifies pancreatic islet cell type- and state-specific regulatory programs of diabetes risk|Single-nucleus assay transposase-accessible sequencing snATAC-seq creates new opportunities dissect type-specific complex diseases Since islets central T2D profiled 298 cells combinatorial barcoding|
GSE160473|single-nucleus|Homo sapiens|8|GSE160473_KCNQ1enh_deletion.counts.txt.gz(512KB), GSE160473_KCNQ1enh_deletion.DESeq2_results.txt.gz(568KB)|immunology,development,metabolism,epigenetics,gene_regulation|Single-cell chromatin accessibility identifies pancreatic islet cell type- and state-specific regulatory programs of diabetes risk [RNA-seq]|Single-nucleus assay transposase-accessible sequencing snATAC-seq creates new opportunities dissect type-specific complex diseases Since islets central T2D profiled 298 cells combinatorial barcoding|
GSE164624|single-nucleus|Homo sapiens|570|GSE164624_GliomaCSC_processed_data.txt.gz(8MB), GSE164624_gliomaGSC_processed_data.loom.gz(24MB)|cancer,development,fibrosis_wound,hematopoiesis|Single nucleus sequencing of SOX2+ glioma stem nuclei from IDH1/TP53-mutant and wild-type glioma samples|Understanding cell GSC heterogeneity within tumors elucidate possible targets astrocytoma treatment single-nucleus transcriptomics sorted marker Malignant states different clusters evaluated|
GSE160729|single-nucleus|Mus musculus|6|GSE160729_RAW.tar(760MB)|cancer,metabolism|Plasticity of epididymal adipose tissue in response diet-induced obesity at single-nucleus resolution.|tissues display remarkable ability adapt dietary status applied RNA-seq map mouse white cell high-fat approach allowed recover major types reveal distinct transcriptional stages along entire|
GSE164782|single-nucleus|Mus musculus|2|GSE164782_RAW.tar(74MB)|neuroscience,epigenetics,infectious_disease|Epigenetic abnormality due to maternal Zika virus infection [snRNA-seq]|report application single nucleus Enzymatic Methyl-seq prefrontal cortex mice treated|
GSE178734|single-nucleus|Rattus norvegicus; Homo sapiens|7|GSE178734_RAW.tar(57.4GB)|immunology,epigenetics,skeletal_muscle|Human and rat skeletal muscle single-nuclei multi-omic integrative analyses nominate causal cell types, regulatory elements, and SNPs for complex traits [snRNA-seq]|accounts largest proportion body mass average key tissue diseases mobility composed several different fiber optimize single-nucleus ATAC-seq snATAC-seq map cell-specific chromatin accessibility|
GSE171417|single-nucleus|Mus musculus|9|GSE171417_Metadata.txt.gz(138KB), GSE171417_Mouse_control_UMIcounts.txt.gz(15MB), GSE171417_Mouse_IRI_UMIcounts.txt.gz(24MB)|kidney,cell_stress,signal_transduction|Single-nuclear transcriptomics reveals a diversity of proximal tubule cell states in a dynamic response to acute kidney injury.|mild-to-moderate ischemia reperfusion IRI model responses reflective variety clinical settings RNA-sequencing snRNA-seq genetically labeled injured PTCs 7-days early 28-days late time points post-IRI|
GSE164485|single-nucleus|Homo sapiens|36|GSE164485_gene_expression_20210104.csv.gz(273MB), GSE164485_HTO_barcode_info.csv.gz(630B), GSE164485_HTO_kite_count_20210106.tar.gz(273MB), GSE164485_meta_data_20210104.csv.gz(2MB), GSE164485_variable_genes_10k_01042021.csv.gz(60KB)|immunology,neuroscience,infectious_disease,lung_respiratory,eye_vision|The landscape of human brain immune response in patients with severe COVID-19|Coronavirus disease 2019 caused acute respiratory syndrome SARS-CoV-2 infection neurological neuropsychiatric illness many individuals sought further understanding relationship tropism|
GSE162934|single-nucleus|Mus musculus|2207|GSE162934_single_neclei_RNA_384well_fcounts_RPKM.txt.gz(149MB), GSE162934_single_neclei_RNA_96well_fcounts_RPKM.txt.gz(88MB)|immunology,neuroscience,development,epigenetics|Derepression of inflammation-related genes link to microglia activation and neural maturation defect in a mouse model of Kleefstra Syndrome|deletion rare genetic disorder characterized developmental delay abnormal behaviors autism-like features caused haplo-insufficiency euchromatin histone methyltransferase EHMT1/GLP/KDM1D product GLP|
GSE176350|single-nucleus|Mus musculus|2|GSE176350_RAW.tar(4MB)|neuroscience,infectious_disease|Validation of molecularly-defined olfactory bulb projection neurons targeting anterior or posterior brain areas|validate different targets already viral specifically cortical Fluorescence Activated Nuclei Sorting FANS enrich single-nuclei RNA sequencing sn-RNA seq isolate GFP-labelled individual replicate AON|
GSE161470|single-nucleus|Homo sapiens|5|GSE161470_cell.counts.Control.txt.gz(13MB), GSE161470_cell.counts.HF.txt.gz(8MB), GSE161470_cell.metadata.Control.csv.gz(144KB), GSE161470_cell.metadata.HF.csv.gz(92KB), GSE161470_RAW.tar(82MB)|cardiovascular|Chamber-Enriched gene expression profiles in failing human hearts with reduced ejection fraction [snRNA-Seq]|generate reference cell composition deconvolution characterize cellular landscape single nucleus left ventricles four non-failing one|
GSE161921|single-nucleus|Homo sapiens|4|GSE161921_RAW.tar(215MB)|development,cardiovascular,skeletal_muscle,signal_transduction|A method for cryopreservation and single nucleus RNA-sequencing of normal adult human interventricular septum heart tissue reveals cellular diversity and function|developed cryopreserving later snRNA-seq profiled four unused donor hearts generate representative snRNAseq dataset first focuses extensive IVS cardiomyocytes fibroblasts divergent biological pathway|
GSE143560|single-nucleus|Mus musculus|2|GSE143560_RAW.tar(27MB)|neuroscience,plant_biology,signal_transduction|Single-nucleus RNA sequencing of deep and superficial sublayers of hippocampal area CA1 in epilepsy|gene expression profiling FACS purified nuclei adult male mice Calb1xTdtomato subjected kainic acid-induced status epilepticus chronic epileptic phase control animals|
